,Country abbreviation,Patent count
0,AF,0
1,AX,0
2,DZ,256
3,AD,0
4,AO,237
5,AG,256
6,EG,251
7,AR,0
8,AM,259
9,AU,266
10,AT,314
11,AZ,258
12,BH,243
13,BD,0
14,BB,260
15,BY,259
16,BE,276
17,BZ,256
18,BJ,1
19,BT,0
20,BO,0
21,BA,283
22,BW,250
23,BR,262
24,BN,172
25,BG,291
26,BF,1
27,BI,0
28,KH,83
29,CM,1
30,CA,266
31,CV,0
32,CF,1
33,TD,1
34,CL,221
35,CN,263
36,CO,254
37,KM,98
38,CG,1
39,CR,256
40,CI,1
41,HR,284
42,CU,257
43,CY,256
44,CZ,290
45,KP,260
46,CG,1
47,DK,306
48,DJ,84
49,DM,256
50,DO,241
51,EC,254
52,SV,243
53,GQ,0
54,ER,0
55,EE,290
56,SW,0
57,ET,0
58,FM,0
59,FJ,0
60,FI,301
61,FR,292
62,GA,1
63,GE,259
64,DE,329
65,GH,258
66,GR,267
67,GL,0
68,GD,256
69,GT,243
70,GN,1
71,GW,0
72,GY,0
73,HT,0
74,HN,243
75,HK,0
76,HU,289
77,IS,286
78,IN,257
79,ID,256
80,IQ,0
81,IE,262
82,IR,146
83,IL,259
84,IT,278
85,JM,1
86,JP,269
87,JO,71
88,KZ,259
89,KE,259
90,KI,0
91,XK,0
92,KW,87
93,KG,259
94,LA,243
95,LV,253
96,LB,0
97,LS,258
98,LR,259
99,LY,248
100,LI,204
101,LT,289
102,LU,311
103,MO,0
104,MG,260
105,MW,260
106,MY,243
107,MV,0
108,ML,1
109,MT,230
110,MH,0
111,MR,1
112,MU,0
113,MX,259
114,MD,268
115,MC,265
116,MN,259
117,ME,263
118,MA,266
119,MZ,256
120,MM,0
121,NA,250
122,NR,0
123,NP,0
124,NL,279
125,NZ,259
126,NI,251
127,NE,0
128,NI,251
129,MK,292
130,NO,286
131,OM,254
132,PK,0
133,PW,0
134,PA,169
135,PG,251
136,PY,0
137,PE,221
138,PH,254
139,PL,288
140,PT,301
141,QA,191
142,VE,0
143,KR,254
144,YE,0
145,RO,294
146,RU,261
147,RW,186
148,KN,246
149,LC,257
150,VC,251
151,WS,24
152,SM,271
153,ST,232
154,SA,149
155,SN,1
156,RS,269
157,SC,251
158,SL,256
159,SG,259
160,SK,290
161,SI,253
162,SB,0
163,SO,0
164,ZA,256
165,SS,0
166,ES,310
167,LK,260
168,SD,260
169,SR,0
170,SE,317
171,CH,318
172,SY,251
173,TW,0
174,TJ,259
175,TZ,256
176,SS,0
177,BS,0
178,GM,256
179,TL,0
180,TG,1
181,TO,0
182,TT,259
183,TN,257
184,TR,291
185,TM,259
186,TV,0
187,UG,259
188,UA,259
189,AE,256
190,GB,329
191,US,263
192,UY,0
193,UZ,259
194,VU,0
