,Country abbreviation,Patent count
0,AF,0
1,AX,0
2,DZ,178
3,AD,0
4,AO,178
5,AG,178
6,EG,178
7,AR,0
8,AM,178
9,AU,178
10,AT,197
11,AZ,178
12,BH,178
13,BD,0
14,BB,178
15,BY,178
16,BE,170
17,BZ,178
18,BJ,0
19,BT,0
20,BO,0
21,BA,197
22,BW,178
23,BR,178
24,BN,170
25,BG,197
26,BF,0
27,BI,0
28,KH,82
29,CM,0
30,CA,178
31,CV,0
32,CF,0
33,TD,0
34,CL,178
35,CN,178
36,CO,178
37,KM,28
38,CG,0
39,CR,178
40,CI,0
41,HR,197
42,CU,178
43,CY,170
44,CZ,197
45,KP,178
46,CG,0
47,DK,197
48,DJ,83
49,DM,178
50,DO,178
51,EC,178
52,SV,178
53,GQ,0
54,ER,0
55,EE,197
56,SW,0
57,ET,0
58,FM,0
59,FJ,0
60,FI,197
61,FR,170
62,GA,0
63,GE,178
64,DE,197
65,GH,178
66,GR,170
67,GL,0
68,GD,178
69,GT,178
70,GN,0
71,GW,0
72,GY,0
73,HT,0
74,HN,178
75,HK,0
76,HU,197
77,IS,197
78,IN,178
79,ID,178
80,IQ,0
81,IE,170
82,IR,145
83,IL,178
84,IT,170
85,JM,1
86,JP,173
87,JO,70
88,KZ,178
89,KE,178
90,KI,0
91,XK,0
92,KW,86
93,KG,178
94,LA,178
95,LV,170
96,LB,0
97,LS,178
98,LR,178
99,LY,178
100,LI,124
101,LT,194
102,LU,197
103,MO,0
104,MG,178
105,MW,178
106,MY,178
107,MV,0
108,ML,0
109,MT,170
110,MH,0
111,MR,0
112,MU,0
113,MX,178
114,MD,187
115,MC,170
116,MN,178
117,ME,197
118,MA,188
119,MZ,178
120,MM,0
121,NA,178
122,NR,0
123,NP,0
124,NL,170
125,NZ,178
126,NI,178
127,NE,0
128,NI,178
129,MK,197
130,NO,197
131,OM,178
132,PK,0
133,PW,0
134,PA,167
135,PG,178
136,PY,0
137,PE,178
138,PH,178
139,PL,197
140,PT,197
141,QA,178
142,VE,0
143,KR,171
144,YE,0
145,RO,197
146,RU,178
147,RW,178
148,KN,178
149,LC,178
150,VC,178
151,WS,24
152,SM,197
153,ST,178
154,SA,148
155,SN,0
156,RS,197
157,SC,178
158,SL,178
159,SG,178
160,SK,197
161,SI,170
162,SB,0
163,SO,0
164,ZA,178
165,SS,0
166,ES,197
167,LK,178
168,SD,178
169,SR,0
170,SE,197
171,CH,197
172,SY,178
173,TW,0
174,TJ,178
175,TZ,178
176,SS,0
177,BS,0
178,GM,178
179,TL,0
180,TG,0
181,TO,0
182,TT,178
183,TN,181
184,TR,197
185,TM,178
186,TV,0
187,UG,178
188,UA,178
189,AE,178
190,GB,197
191,US,178
192,UY,0
193,UZ,178
194,VU,0
