,Country abbreviation,Patent count
0,AF,0
1,AX,0
2,DZ,0
3,AD,0
4,AO,0
5,AG,0
6,EG,0
7,AR,0
8,AM,0
9,AU,1
10,AT,5
11,AZ,0
12,BH,0
13,BD,0
14,BB,0
15,BY,0
16,BE,4
17,BZ,0
18,BJ,0
19,BT,0
20,BO,0
21,BA,0
22,BW,0
23,BR,0
24,BN,0
25,BG,0
26,BF,0
27,BI,0
28,KH,0
29,CM,0
30,CA,0
31,CV,0
32,CF,0
33,TD,0
34,CL,0
35,CN,0
36,CO,0
37,KM,0
38,CG,0
39,CR,0
40,CI,0
41,HR,0
42,CU,0
43,CY,0
44,CZ,0
45,KP,0
46,CG,0
47,DK,1
48,DJ,0
49,DM,0
50,DO,0
51,EC,0
52,SV,0
53,GQ,0
54,ER,0
55,EE,0
56,SW,0
57,ET,0
58,FM,0
59,FJ,0
60,FI,0
61,FR,16
62,GA,0
63,GE,0
64,DE,16
65,GH,0
66,GR,0
67,GL,0
68,GD,0
69,GT,0
70,GN,0
71,GW,0
72,GY,0
73,HT,0
74,HN,0
75,HK,0
76,HU,0
77,IS,0
78,IN,0
79,ID,0
80,IQ,0
81,IE,0
82,IR,0
83,IL,0
84,IT,6
85,JM,0
86,JP,2
87,JO,0
88,KZ,0
89,KE,0
90,KI,0
91,XK,0
92,KW,0
93,KG,0
94,LA,0
95,LV,0
96,LB,0
97,LS,0
98,LR,0
99,LY,0
100,LI,6
101,LT,0
102,LU,4
103,MO,0
104,MG,0
105,MW,0
106,MY,0
107,MV,0
108,ML,0
109,MT,0
110,MH,0
111,MR,0
112,MU,0
113,MX,0
114,MD,0
115,MC,0
116,MN,0
117,ME,0
118,MA,0
119,MZ,0
120,MM,0
121,NA,0
122,NR,0
123,NP,0
124,NL,7
125,NZ,0
126,NI,0
127,NE,0
128,NI,0
129,MK,0
130,NO,1
131,OM,0
132,PK,0
133,PW,0
134,PA,0
135,PG,0
136,PY,0
137,PE,0
138,PH,0
139,PL,0
140,PT,0
141,QA,0
142,VE,0
143,KR,0
144,YE,0
145,RO,1
146,RU,0
147,RW,0
148,KN,0
149,LC,0
150,VC,0
151,WS,0
152,SM,0
153,ST,0
154,SA,0
155,SN,0
156,RS,0
157,SC,0
158,SL,0
159,SG,0
160,SK,0
161,SI,0
162,SB,0
163,SO,0
164,ZA,0
165,SS,0
166,ES,1
167,LK,0
168,SD,0
169,SR,0
170,SE,8
171,CH,8
172,SY,0
173,TW,0
174,TJ,0
175,TZ,0
176,SS,0
177,BS,0
178,GM,0
179,TL,0
180,TG,0
181,TO,0
182,TT,0
183,TN,0
184,TR,0
185,TM,0
186,TV,0
187,UG,0
188,UA,0
189,AE,0
190,GB,15
191,US,2
192,UY,0
193,UZ,0
194,VU,0
