,Country abbreviation,Patent count
0,AF,0
1,AX,0
2,DZ,78
3,AD,0
4,AO,59
5,AG,78
6,EG,73
7,AR,0
8,AM,81
9,AU,87
10,AT,112
11,AZ,80
12,BH,65
13,BD,0
14,BB,82
15,BY,81
16,BE,102
17,BZ,78
18,BJ,1
19,BT,0
20,BO,0
21,BA,86
22,BW,72
23,BR,84
24,BN,2
25,BG,94
26,BF,1
27,BI,0
28,KH,1
29,CM,1
30,CA,88
31,CV,0
32,CF,1
33,TD,1
34,CL,43
35,CN,85
36,CO,76
37,KM,70
38,CG,1
39,CR,78
40,CI,1
41,HR,87
42,CU,79
43,CY,86
44,CZ,93
45,KP,82
46,CG,1
47,DK,108
48,DJ,1
49,DM,78
50,DO,63
51,EC,76
52,SV,65
53,GQ,0
54,ER,0
55,EE,93
56,SW,0
57,ET,0
58,FM,0
59,FJ,0
60,FI,104
61,FR,106
62,GA,1
63,GE,81
64,DE,116
65,GH,80
66,GR,97
67,GL,0
68,GD,78
69,GT,65
70,GN,1
71,GW,0
72,GY,0
73,HT,0
74,HN,65
75,HK,0
76,HU,92
77,IS,89
78,IN,79
79,ID,78
80,IQ,0
81,IE,92
82,IR,1
83,IL,81
84,IT,102
85,JM,0
86,JP,94
87,JO,1
88,KZ,81
89,KE,81
90,KI,0
91,XK,0
92,KW,1
93,KG,81
94,LA,65
95,LV,83
96,LB,0
97,LS,80
98,LR,81
99,LY,70
100,LI,74
101,LT,95
102,LU,110
103,MO,0
104,MG,82
105,MW,82
106,MY,65
107,MV,0
108,ML,1
109,MT,60
110,MH,0
111,MR,1
112,MU,0
113,MX,81
114,MD,81
115,MC,95
116,MN,81
117,ME,66
118,MA,78
119,MZ,78
120,MM,0
121,NA,72
122,NR,0
123,NP,0
124,NL,102
125,NZ,81
126,NI,73
127,NE,0
128,NI,73
129,MK,95
130,NO,88
131,OM,76
132,PK,0
133,PW,0
134,PA,2
135,PG,73
136,PY,0
137,PE,43
138,PH,76
139,PL,91
140,PT,104
141,QA,13
142,VE,0
143,KR,83
144,YE,0
145,RO,96
146,RU,83
147,RW,8
148,KN,68
149,LC,79
150,VC,73
151,WS,0
152,SM,74
153,ST,54
154,SA,1
155,SN,1
156,RS,72
157,SC,73
158,SL,78
159,SG,81
160,SK,93
161,SI,83
162,SB,0
163,SO,0
164,ZA,78
165,SS,0
166,ES,112
167,LK,82
168,SD,82
169,SR,0
170,SE,112
171,CH,113
172,SY,73
173,TW,0
174,TJ,81
175,TZ,78
176,SS,0
177,BS,0
178,GM,78
179,TL,0
180,TG,1
181,TO,0
182,TT,81
183,TN,76
184,TR,94
185,TM,81
186,TV,0
187,UG,81
188,UA,81
189,AE,78
190,GB,117
191,US,83
192,UY,0
193,UZ,81
194,VU,0
